product_id,time_period,quantity,price,cost_shock,store_id,product_category,income,population,trend
7,3,45.93,15.03,2.391,28,3,43.8,50.4,3
7,4,41.31,16.29,2.712,16,10,52.2,107.8,4
7,5,128.88,14.24,-1.455,15,8,69.6,103.6,5
8,1,33.55,13.69,-0.064,47,10,51.7,93.7,1
8,2,55.82,12.49,-2.466,44,1,51.1,114.5,2
8,3,68.68,15.89,-0.095,3,2,59.3,137.4,3
8,4,52.22,15.77,-0.535,37,2,54.3,109.3,4
8,5,31.02,16.65,2.505,7,3,48.5,71.8,5
9,1,14.49,17.21,3.202,21,6,39.2,157.5,1
9,2,53.99,13.27,-2.127,9,1,51.2,94.7,2
9,3,57.9,16.38,1.538,39,2,66.4,101.5,3
9,4,85.22,16.4,1.759,18,1,76.7,80.4,4
9,5,121.48,11.37,-3.496,4,5,54.4,67.8,5
10,1,35.16,14.84,1.93,25,7,61.3,70.2,1
10,2,74.54,10.84,-2.956,14,8,54.0,63.6,2
10,3,35.06,12.2,-1.022,50,10,48.7,9.7,3
10,4,60.38,14.02,-1.802,9,1,57.7,95.3,4
10,5,87.72,12.2,-3.142,26,7,67.8,133.1,5
11,1,16.72,15.67,2.208,2,5,36.7,70.5,1
11,2,28.58,14.06,-1.884,20,10,28.2,176.8,2
11,3,57.07,14.24,-0.793,28,1,42.0,141.6,3
11,4,59.11,14.9,-0.014,47,3,53.2,99.5,4
11,5,69.72,16.61,1.486,7,7,63.0,66.7,5
12,1,56.4,12.09,-1.937,44,10,35.2,52.1,1
12,2,16.54,13.64,0.975,8,1,12.7,96.6,2
12,3,29.41,13.39,-0.462,47,7,42.4,102.0,3
12,4,32.71,12.26,-2.016,35,5,47.1,93.9,4
12,5,33.33,16.29,2.041,14,1,32.6,132.1,5
13,1,14.0,18.3,4.157,17,1,38.7,144.9,1
13,2,39.35,16.25,0.408,36,1,63.0,114.2,2
13,3,58.03,13.21,-1.218,50,9,51.2,115.8,3
13,4,82.02,13.71,-1.471,40,3,55.2,90.5,4
13,5,38.01,15.85,1.613,4,5,44.7,99.9,5
14,1,19.28,13.97,0.027,2,10,38.7,112.3,1
14,2,34.78,13.52,-2.125,6,9,44.6,90.5,2
14,3,66.04,12.1,-3.386,42,6,57.5,119.8,3
14,4,26.89,13.34,0.762,4,9,27.6,68.3,4
14,5,82.43,13.53,-2.531,29,8,74.8,78.0,5
15,1,35.75,14.02,-0.805,18,8,58.6,68.6,1
15,2,35.82,16.27,3.257,26,1,42.0,79.9,2
15,3,85.56,13.55,-1.662,44,9,62.2,91.4,3
15,4,97.61,18.17,2.107,34,6,68.3,130.9,4
15,5,31.44,12.71,-2.042,10,9,45.0,101.2,5
16,1,22.54,14.93,1.749,36,3,46.8,61.5,1
16,2,94.34,14.86,1.15,14,3,72.4,57.9,2
16,3,112.66,16.75,0.976,31,6,81.8,87.5,3
16,4,57.08,14.89,-1.217,48,9,50.4,125.0,4
16,5,28.38,15.75,1.274,15,7,32.6,142.1,5
17,1,24.46,13.35,0.749,8,3,42.9,52.3,1
17,2,51.54,17.79,3.776,14,3,65.5,111.2,2
17,3,27.26,12.94,-1.232,23,2,34.5,87.9,3
17,4,45.44,16.02,2.572,40,9,46.9,90.3,4
17,5,64.89,13.31,-1.801,21,3,54.4,68.1,5
18,1,18.64,13.86,-0.478,16,5,36.2,93.4,1
18,2,80.13,13.62,-1.277,45,9,66.4,66.7,2
18,3,87.94,14.34,-0.991,18,8,60.4,92.0,3
18,4,161.53,16.79,-0.315,47,2,80.1,134.4,4
18,5,79.47,17.23,2.883,24,3,61.7,118.9,5
19,1,27.64,16.57,0.913,26,2,35.6,157.4,1
19,2,29.93,17.33,2.468,25,8,58.0,115.8,2
19,3,53.18,15.39,0.029,45,6,64.8,105.2,3
19,4,58.71,18.14,2.565,41,6,65.6,116.6,4
19,5,45.29,14.02,0.454,29,9,38.3,76.7,5
20,1,25.67,10.72,-1.579,15,8,36.6,37.4,1
20,2,21.39,15.38,2.112,45,4,32.9,123.9,2
20,3,86.21,15.98,2.968,1,4,74.1,46.1,3
20,4,60.93,16.71,1.277,25,9,59.3,133.6,4
20,5,38.5,15.97,1.662,7,1,37.7,122.5,5
21,1,25.74,15.97,2.558,9,2,51.9,74.5,1
21,2,37.87,13.11,-0.54,24,2,48.1,86.9,2
21,3,30.17,12.33,-1.436,1,6,35.4,99.7,3
21,4,47.59,14.37,0.725,44,4,50.5,72.3,4
21,5,40.92,18.12,3.453,8,10,52.9,116.2,5
22,1,60.55,17.47,0.602,24,3,79.0,118.9,1
22,2,33.02,12.79,1.259,11,3,40.2,56.7,2
22,3,41.81,12.99,0.149,17,3,24.4,75.3,3
22,4,38.15,13.91,0.589,8,6,34.3,98.9,4
22,5,25.03,13.38,-1.056,35,8,36.6,134.2,5
23,1,30.96,15.9,1.097,35,7,43.6,119.6,1
23,2,20.45,13.42,1.756,33,4,34.3,30.1,2
23,3,55.22,12.79,-3.005,5,4,62.3,91.2,3
23,4,44.55,12.6,-3.002,42,10,33.3,114.2,4
23,5,74.11,11.01,-3.508,39,2,50.3,76.0,5
24,1,138.14,17.95,2.951,41,1,80.0,73.7,1
24,2,54.89,12.86,-1.85,28,9,58.3,77.6,2
24,3,42.97,16.39,0.703,7,2,56.8,90.8,3
24,4,117.5,18.02,3.57,9,8,77.9,70.6,4
24,5,81.44,17.1,0.665,8,9,68.7,119.8,5
25,1,30.77,15.12,1.029,12,4,58.5,74.2,1
25,2,30.63,12.3,-1.686,34,8,45.3,68.9,2
25,3,36.78,15.16,0.666,33,9,49.7,88.0,3
25,4,68.07,13.61,-1.99,48,10,48.9,144.4,4
25,5,85.05,12.07,-3.807,23,10,44.0,115.8,5
26,1,50.36,15.03,0.105,24,5,53.2,117.7,1
26,2,54.52,14.96,0.642,37,7,55.3,108.6,2
26,3,38.73,12.76,-1.057,35,10,31.3,71.6,3
26,4,118.26,14.51,-1.493,44,4,74.5,80.8,4
26,5,51.02,13.61,-0.427,40,1,56.1,75.7,5
27,1,32.6,14.35,-1.453,22,3,46.1,132.7,1
27,2,35.67,15.49,1.484,27,5,53.3,108.9,2
27,3,83.83,15.24,0.894,35,3,64.0,50.0,3
27,4,18.5,15.94,3.256,1,7,28.0,143.6,4
27,5,42.11,13.37,-0.711,35,9,48.4,90.0,5
28,1,24.9,13.71,0.14,37,6,32.2,119.6,1
28,2,208.82,16.95,0.347,47,10,89.9,131.6,2
28,3,59.95,12.55,-0.746,14,1,52.1,23.1,3
28,4,56.54,10.98,-3.967,3,7,32.3,113.6,4
28,5,149.36,17.97,0.888,1,3,104.0,92.4,5
29,1,25.9,16.44,4.67,5,5,42.0,27.3,1
29,2,22.76,15.38,1.999,26,10,46.9,66.0,2
29,3,42.42,16.76,3.916,14,4,47.9,86.4,3
29,4,20.71,15.22,1.794,39,10,37.3,125.4,4
29,5,54.98,14.3,-0.304,27,5,53.7,94.7,5
30,1,8.13,13.27,1.203,9,5,16.8,104.4,1
30,2,41.3,16.74,2.14,15,6,66.3,89.3,2
30,3,25.06,11.29,-3.201,15,10,33.1,132.6,3
30,4,48.17,15.19,0.89,26,10,43.8,115.6,4
30,5,80.97,14.18,-0.197,42,6,61.3,104.9,5
31,1,25.52,15.13,2.955,13,8,46.9,65.7,1
31,2,38.23,14.7,0.745,32,8,47.5,103.6,2
31,3,37.11,10.74,-4.921,39,9,34.8,183.5,3
31,4,129.35,15.97,0.88,49,8,81.4,123.9,4
31,5,85.81,11.39,-4.124,32,2,58.0,77.8,5
32,1,39.31,17.53,2.548,4,10,33.8,155.6,1
32,2,73.57,13.52,-1.536,30,1,52.7,76.5,2
32,3,44.6,12.27,-2.261,37,10,32.7,121.4,3
32,4,115.95,14.47,-1.542,23,2,75.8,98.6,4
32,5,74.52,13.42,-1.787,39,2,53.0,105.5,5
33,1,37.67,13.43,-0.311,45,3,35.4,106.6,1
33,2,69.74,12.6,-1.721,15,10,60.5,92.6,2
33,3,43.48,14.2,-0.602,43,7,45.8,88.3,3
33,4,32.39,10.23,-3.085,29,2,30.7,60.5,4
33,5,52.65,13.62,-0.503,36,1,55.7,66.2,5
34,1,34.52,17.07,2.845,13,6,55.3,110.0,1
34,2,29.82,14.29,-0.897,32,9,67.1,79.5,2
34,3,41.3,14.94,1.248,7,3,51.0,72.7,3
34,4,59.04,14.0,-2.513,22,6,51.6,184.8,4
34,5,72.87,16.95,1.159,28,3,52.4,174.7,5
35,1,85.73,18.01,2.275,2,1,73.9,117.4,1
35,2,66.77,16.64,2.85,42,5,45.3,121.6,2
35,3,57.49,15.45,0.401,45,10,57.0,75.6,3
35,4,60.31,15.04,1.343,6,4,59.3,64.4,4
35,5,65.31,12.06,-2.561,28,7,55.2,89.8,5
36,1,25.02,13.34,-0.767,28,6,44.8,100.0,1
36,2,59.21,14.27,-1.601,44,10,51.8,121.4,2
36,3,40.33,13.72,0.657,44,7,48.6,45.1,3
36,4,125.94,17.03,-1.056,20,5,79.4,164.4,4
36,5,42.34,15.24,1.374,30,4,43.1,107.4,5
37,1,19.55,16.13,4.937,11,7,36.3,53.5,1
37,2,40.77,15.19,1.243,28,7,49.9,104.7,2
37,3,41.34,15.85,2.823,25,6,48.8,72.9,3
37,4,79.37,12.58,-2.369,39,8,53.0,70.8,4
37,5,32.42,13.04,-0.17,33,4,43.1,68.1,5
38,1,45.74,14.24,0.434,1,10,51.7,92.3,1
38,2,31.14,15.12,0.13,27,5,51.9,163.1,2
38,3,66.73,17.33,3.687,13,4,63.6,102.8,3
38,4,55.58,15.15,-1.488,41,1,51.4,120.8,4
38,5,55.03,15.28,0.646,3,8,51.5,128.2,5
39,1,61.59,11.13,-4.857,39,1,57.7,95.7,1
39,2,57.36,14.54,0.849,6,5,63.0,65.2,2
39,3,36.39,14.32,1.012,8,6,35.2,52.0,3
39,4,42.3,12.91,-0.105,27,6,31.2,88.4,4
39,5,124.18,18.11,0.791,9,5,75.4,134.3,5
40,1,32.33,15.55,-1.129,37,3,60.6,128.1,1
40,2,54.86,12.03,-2.443,33,5,46.7,107.7,2
40,3,24.13,13.57,-1.977,42,8,50.3,111.7,3
40,4,23.39,13.51,-1.705,44,2,44.1,95.9,4
40,5,105.85,11.6,-2.585,24,6,53.2,85.6,5
41,1,21.82,10.32,-2.664,15,9,35.4,77.9,1
41,2,64.62,11.86,-1.66,32,8,62.6,55.9,2
41,3,79.42,14.8,-0.712,32,8,52.6,153.9,3
41,4,64.7,14.52,0.264,24,8,53.2,105.1,4
41,5,52.16,11.47,-2.448,41,7,36.6,86.7,5
42,1,53.25,13.85,-1.868,49,8,57.9,154.6,1
42,2,31.93,14.43,-1.229,49,6,36.9,160.4,2
42,3,27.59,16.29,0.874,12,2,39.6,182.4,3
42,4,51.07,12.67,-2.39,39,2,51.3,92.6,4
42,5,151.88,16.14,-1.035,2,8,87.6,103.2,5
43,1,36.8,16.73,1.945,3,1,52.6,119.5,1
43,2,16.4,12.17,-1.589,49,6,11.5,149.9,2
43,3,22.61,11.45,-2.495,37,6,40.4,101.9,3
43,4,97.39,14.87,-0.174,49,4,60.3,70.5,4
43,5,51.27,12.09,-1.662,17,10,33.1,77.4,5
44,1,70.28,11.5,-5.524,49,3,62.5,135.3,1
44,2,56.94,15.09,0.398,2,3,52.4,118.6,2
44,3,52.11,16.65,1.74,2,1,64.9,94.8,3
44,4,44.82,13.54,-0.045,28,3,41.6,92.8,4
44,5,20.73,15.57,2.086,23,4,40.4,94.8,5
45,1,46.3,16.59,1.288,37,5,58.5,137.2,1
45,2,39.98,12.99,-1.71,32,3,49.9,76.3,2
45,3,36.91,16.36,4.099,33,6,49.0,63.6,3
45,4,147.85,17.46,0.642,1,5,73.5,154.5,4
45,5,62.84,16.0,0.856,19,3,59.1,100.8,5
46,1,17.21,11.37,-1.987,2,6,20.2,97.6,1
46,2,63.86,12.28,-3.092,44,6,62.0,120.1,2
46,3,46.01,12.2,-2.167,26,8,60.5,70.3,3
46,4,76.12,17.98,1.84,32,2,67.8,122.5,4
46,5,35.3,16.32,3.421,6,1,35.9,88.5,5
47,1,42.35,15.48,0.578,32,4,54.9,133.8,1
47,2,50.57,14.52,0.185,4,7,51.7,54.0,2
47,3,33.58,16.46,1.934,11,10,35.6,113.5,3
47,4,63.74,16.7,2.762,17,3,64.2,93.1,4
47,5,74.22,11.37,-2.904,38,3,46.4,78.9,5
48,1,91.69,18.46,3.256,24,5,67.3,123.1,1
48,2,24.35,13.44,-0.761,5,5,38.9,95.6,2
48,3,27.7,15.4,2.168,34,10,28.1,114.0,3
48,4,53.26,13.44,-2.135,6,3,46.4,138.0,4
48,5,72.11,16.82,2.067,22,9,53.5,123.7,5
49,1,25.96,12.19,-2.867,11,4,42.0,67.6,1
49,2,10.85,13.98,2.243,48,3,4.0,83.7,2
49,3,39.56,15.88,1.287,16,2,55.8,113.8,3
49,4,43.05,12.45,-3.144,33,10,55.7,123.8,4
49,5,89.5,17.18,2.551,9,9,60.3,88.3,5
50,1,33.22,12.26,-1.952,6,4,44.3,105.9,1
50,2,22.71,16.18,2.286,16,3,43.5,105.7,2
50,3,64.39,16.04,0.289,29,7,71.6,109.9,3
50,4,58.17,10.35,-2.493,3,8,26.4,64.6,4
50,5,93.79,10.81,-2.026,20,2,46.3,57.5,5
51,1,23.45,18.61,7.806,36,7,52.1,32.2,1
51,2,50.65,18.67,4.615,19,5,59.1,103.2,2
51,3,33.78,13.83,-0.421,26,5,52.5,59.1,3
51,4,39.42,15.59,0.849,3,3,36.2,164.1,4
51,5,64.15,18.09,2.406,19,5,67.5,119.6,5
52,1,50.48,11.58,-2.584,20,2,50.0,64.5,1
52,2,13.54,14.38,1.38,32,4,25.0,134.1,2
52,3,38.09,16.23,1.974,7,6,53.1,134.1,3
52,4,62.53,15.72,0.724,41,1,57.1,136.6,4
52,5,102.56,17.8,2.782,33,10,79.4,75.8,5
53,1,27.46,15.33,0.305,40,4,56.1,121.5,1
53,2,15.06,15.69,2.211,39,6,27.8,137.1,2
53,3,28.42,14.67,0.473,18,9,28.3,147.1,3
53,4,101.6,12.66,-3.067,40,2,68.9,54.3,4
53,5,39.46,16.27,1.878,1,7,38.0,93.5,5
54,1,18.08,14.56,2.604,11,6,26.8,74.7,1
54,2,45.77,15.94,-0.302,28,2,65.0,155.9,2
54,3,43.06,11.65,-2.678,25,8,42.9,114.7,3
54,4,75.7,17.17,1.736,50,7,64.2,126.7,4
54,5,27.64,14.36,0.633,23,5,36.3,114.3,5
55,1,44.6,16.31,0.594,31,5,72.1,111.3,1
55,2,48.06,15.35,0.378,30,7,63.1,74.1,2
55,3,33.19,14.72,2.015,42,9,39.2,86.6,3
55,4,14.62,13.49,0.576,35,9,25.1,102.1,4
55,5,131.95,14.92,-0.95,7,9,84.6,80.5,5
56,1,49.02,11.38,-3.231,16,6,46.8,75.0,1
56,2,36.85,13.83,-0.923,26,10,38.6,93.8,2
56,3,51.58,16.22,1.819,48,6,70.8,81.8,3
56,4,80.41,15.04,-0.67,49,3,64.2,101.5,4
56,5,96.47,17.5,1.816,2,1,67.7,86.7,5
57,1,53.41,11.38,-2.828,1,7,48.5,79.5,1
57,2,83.1,13.77,-2.023,48,4,78.2,72.2,2
57,3,15.6,11.66,-2.139,12,1,30.3,100.2,3
57,4,43.96,14.21,0.271,5,8,41.7,126.6,4
57,5,80.47,18.48,3.584,37,6,55.8,119.5,5
58,1,52.87,18.69,4.489,32,6,67.5,54.2,1
58,2,59.15,16.94,2.115,9,2,59.9,125.8,2
58,3,61.23,11.56,-3.916,41,1,48.8,119.3,3
58,4,64.1,12.68,-1.504,35,2,42.9,126.6,4
58,5,138.43,11.72,-6.078,19,4,67.6,132.5,5
59,1,27.46,15.18,0.33,48,2,61.5,78.2,1
59,2,31.15,15.87,3.25,16,1,36.9,91.0,2
59,3,23.05,15.7,1.631,3,7,36.4,153.7,3
59,4,53.81,12.11,-3.531,20,8,41.8,151.9,4
59,5,41.36,16.88,2.777,24,6,39.9,97.7,5
60,1,38.21,17.46,2.409,33,4,65.4,118.1,1
60,2,29.78,17.7,3.086,24,6,56.5,120.7,2
60,3,56.83,17.87,2.218,11,3,58.4,152.7,3
60,4,38.71,14.6,-1.052,49,8,52.9,110.4,4
60,5,75.46,10.78,-3.71,8,10,53.6,63.6,5
61,1,23.42,14.94,2.342,36,2,26.3,85.7,1
61,2,81.7,18.95,1.553,38,5,61.9,194.0,2
61,3,27.24,10.59,-3.944,40,1,41.5,62.2,3
61,4,54.56,12.42,-1.929,20,6,49.5,101.5,4
61,5,82.5,13.18,-1.872,35,2,42.9,169.4,5
62,1,30.83,15.25,1.455,48,4,52.2,76.0,1
62,2,59.99,13.66,-0.031,25,6,58.6,18.2,2
62,3,39.2,12.03,-0.527,35,10,34.9,23.7,3
62,4,48.83,13.18,-0.839,25,8,53.8,76.2,4
62,5,55.24,12.27,-2.251,29,8,43.3,47.1,5
63,1,66.16,17.17,1.931,18,6,69.8,131.1,1
63,2,40.43,12.06,-1.454,46,4,33.3,108.0,2
63,3,14.93,14.76,2.325,18,8,35.0,36.0,3
63,4,78.12,10.95,-2.786,2,8,44.6,52.1,4
63,5,46.56,14.67,-0.984,35,10,36.1,137.2,5
64,1,19.03,17.36,3.93,16,1,46.6,105.8,1
64,2,31.49,15.13,0.469,41,4,42.1,143.0,2
64,3,61.97,14.78,-0.981,36,4,51.3,133.6,3
64,4,54.81,13.89,-1.256,33,7,65.1,65.5,4
64,5,43.95,14.69,-1.739,4,7,51.1,126.5,5
65,1,35.75,16.12,0.907,33,8,52.4,116.9,1
65,2,19.48,14.46,1.797,14,5,34.1,41.1,2
65,3,44.29,13.72,0.503,21,7,48.0,59.1,3
65,4,52.9,16.11,-0.118,48,8,43.7,173.1,4
65,5,68.32,15.75,1.203,20,9,60.2,72.2,5
66,1,34.22,11.63,-2.809,8,3,38.5,112.3,1
66,2,36.81,13.73,0.756,7,3,37.1,94.3,2
66,3,47.76,15.08,0.869,3,4,54.8,105.5,3
66,4,84.08,16.01,0.535,17,5,79.7,96.3,4
66,5,77.7,14.07,-1.11,33,10,47.4,129.0,5
67,1,20.71,14.1,-1.55,48,1,52.5,128.2,1
67,2,67.61,13.68,-2.602,12,7,64.2,103.5,2
67,3,37.68,17.53,2.941,22,9,57.6,72.9,3
67,4,44.93,14.59,-0.111,22,8,57.7,82.9,4
67,5,64.06,12.11,-0.848,46,5,48.6,52.7,5
68,1,44.96,13.0,-1.042,30,4,48.9,90.0,1
68,2,27.42,11.15,-1.913,38,7,38.7,47.0,2
68,3,36.61,14.55,-1.071,38,5,57.3,106.6,3
68,4,33.91,17.16,2.422,45,7,57.0,108.9,4
68,5,118.34,16.36,1.163,8,1,60.8,130.2,5
69,1,48.83,14.34,1.657,27,1,42.7,63.4,1
69,2,50.03,15.65,1.919,27,10,62.5,65.4,2
69,3,38.63,19.04,4.4,34,3,67.0,145.7,3
69,4,29.2,12.74,0.055,21,2,31.8,58.9,4
69,5,26.89,14.85,-0.856,30,2,45.5,161.5,5
70,1,58.16,15.7,0.874,33,7,67.6,72.3,1
70,2,21.6,14.17,1.297,28,10,40.3,72.5,2
70,3,38.7,15.25,-0.068,47,2,57.9,125.3,3
70,4,78.81,12.84,-1.788,33,4,50.1,116.5,4
70,5,60.26,15.67,0.372,5,2,55.0,149.2,5
71,1,42.73,14.5,1.089,48,6,50.6,43.3,1
71,2,67.91,17.17,0.695,19,8,61.2,116.0,2
71,3,36.13,11.43,-3.675,4,10,34.7,98.6,3
71,4,47.62,9.97,-3.18,35,4,36.3,67.7,4
71,5,120.92,18.39,1.434,49,5,72.0,156.4,5
72,1,73.43,15.66,-0.745,17,4,81.5,107.1,1
72,2,42.82,18.22,4.449,44,3,49.9,98.1,2
72,3,38.1,19.3,2.682,28,5,75.7,113.6,3
72,4,40.92,10.58,-2.536,30,9,38.4,48.1,4
72,5,39.27,15.28,2.053,29,8,42.0,62.5,5
73,1,36.26,18.23,3.201,46,8,71.9,90.0,1
73,2,66.83,14.27,-0.891,6,8,62.1,109.5,2
73,3,97.28,15.3,-0.172,35,8,74.1,138.2,3
73,4,53.89,12.71,-1.096,41,7,57.0,73.5,4
73,5,34.23,11.33,-2.245,37,8,34.8,66.6,5
74,1,24.78,17.86,3.154,24,8,53.4,115.0,1
74,2,57.54,11.31,-5.18,29,8,68.0,95.9,2
74,3,71.5,12.58,-1.349,49,10,48.0,42.4,3
74,4,42.78,13.21,-0.845,46,7,45.7,72.4,4
74,5,44.45,14.47,0.314,31,1,57.3,94.5,5
75,1,33.87,11.98,-2.479,35,4,41.6,95.4,1
75,2,40.08,17.28,2.71,33,4,54.4,102.7,2
75,3,46.0,10.99,-3.672,21,5,51.0,61.0,3
75,4,44.15,11.93,-3.643,32,10,42.6,96.1,4
75,5,119.49,15.72,0.116,23,6,64.7,128.4,5
76,1,40.89,10.81,-2.574,33,4,59.7,13.4,1
76,2,29.46,13.99,0.416,3,2,44.7,91.5,2
76,3,31.21,10.76,-1.48,18,6,49.8,50.1,3
76,4,66.21,16.04,1.615,25,8,45.9,99.0,4
76,5,58.49,11.69,-1.856,42,8,40.4,54.9,5
77,1,15.5,15.49,2.889,31,7,24.5,104.0,1
77,2,26.16,15.65,1.259,3,6,42.7,148.8,2
77,3,30.12,12.44,-1.516,40,2,40.6,70.6,3
77,4,43.2,15.07,1.248,46,7,51.7,75.0,4
77,5,68.19,15.6,0.292,24,5,56.6,85.9,5
78,1,17.61,15.26,1.571,50,6,38.0,109.6,1
78,2,36.41,15.3,1.199,32,10,55.6,69.4,2
78,3,34.99,14.99,0.719,47,8,35.7,88.6,3
78,4,74.58,14.09,0.129,22,8,48.1,79.9,4
78,5,45.17,15.05,1.809,23,3,41.0,86.0,5
79,1,33.21,17.78,2.341,2,7,61.2,109.9,1
79,2,42.23,14.34,0.273,27,1,51.8,116.5,2
79,3,44.0,14.41,1.212,42,1,48.3,55.7,3
79,4,31.73,15.56,1.875,2,7,40.6,109.8,4
79,5,52.59,18.35,3.214,26,10,45.1,194.4,5
80,1,51.69,19.29,2.864,17,9,77.4,146.3,1
80,2,47.03,15.25,2.06,40,7,42.5,80.7,2
80,3,54.78,14.32,-0.828,33,10,57.2,104.0,3
80,4,49.36,11.77,-2.626,9,5,48.3,99.0,4
80,5,71.2,16.2,1.119,43,8,56.8,113.8,5
81,1,32.41,16.71,1.103,48,2,62.6,87.3,1
81,2,38.57,13.43,-0.794,39,9,44.7,91.9,2
81,3,105.36,12.58,-2.668,29,6,60.6,78.1,3
81,4,89.76,19.17,3.312,42,9,91.3,132.9,4
81,5,88.28,16.32,0.851,26,2,58.5,109.3,5
82,1,55.01,13.81,-2.416,35,3,74.2,109.6,1
82,2,62.46,15.66,-0.254,50,8,57.2,136.6,2
82,3,27.47,12.78,-2.687,25,1,36.0,137.0,3
82,4,72.57,16.44,1.364,24,10,54.1,131.3,4
82,5,31.7,18.39,3.7,13,7,45.0,136.1,5
83,1,25.86,15.2,-0.372,7,7,41.1,146.9,1
83,2,29.31,13.8,-0.185,36,1,48.9,71.0,2
83,3,21.17,13.65,-0.553,45,9,47.7,91.0,3
83,4,24.13,13.68,-0.449,20,8,34.1,121.3,4
83,5,101.46,14.89,-1.552,1,4,90.6,73.4,5
84,1,22.58,17.17,2.764,8,10,62.1,89.1,1
84,2,49.76,14.42,0.39,46,5,53.7,105.8,2
84,3,72.9,14.33,0.127,16,2,51.3,93.1,3
84,4,131.41,15.72,-0.452,14,9,68.0,102.0,4
84,5,100.13,13.35,-2.546,12,6,81.1,65.6,5
85,1,41.19,16.37,1.877,23,3,60.3,98.9,1
85,2,46.9,17.93,2.846,15,7,51.8,104.0,2
85,3,67.31,13.88,-3.723,28,9,72.1,148.5,3
85,4,64.38,16.23,1.419,34,3,52.1,91.9,4
85,5,82.24,15.82,1.725,2,2,56.5,80.5,5
86,1,25.99,17.75,2.568,32,7,65.0,121.4,1
86,2,14.35,13.98,2.411,23,7,44.2,4.8,2
86,3,13.05,16.42,5.272,22,4,18.9,90.5,3
86,4,50.92,14.69,0.801,25,9,43.5,84.6,4
86,5,41.76,16.66,1.985,22,8,61.6,107.8,5
87,1,26.7,15.57,0.025,22,1,60.5,137.4,1
87,2,74.87,15.65,-1.606,49,1,70.1,146.5,2
87,3,42.02,15.49,1.417,42,5,44.0,107.4,3
87,4,64.3,16.32,1.988,6,6,73.7,53.4,4
87,5,46.19,14.88,0.684,15,3,52.8,84.6,5
88,1,67.91,12.36,-3.32,43,9,59.1,87.9,1
88,2,53.3,13.15,-2.898,37,10,63.6,111.0,2
88,3,18.06,15.0,1.535,33,6,29.3,101.7,3
88,4,40.23,12.13,-0.731,8,4,34.9,79.4,4
88,5,38.02,13.65,0.712,44,7,34.4,62.5,5
89,1,48.22,15.48,0.965,44,8,66.1,73.9,1
89,2,58.78,13.02,-0.229,5,9,45.4,72.8,2
89,3,136.02,15.93,-0.512,39,6,80.4,148.6,3
89,4,45.97,13.49,-0.261,4,6,50.1,76.9,4
89,5,19.94,13.94,1.183,6,8,27.9,101.8,5
90,1,35.82,15.31,0.96,45,5,39.9,129.1,1
90,2,62.92,13.58,-1.598,32,3,51.8,105.8,2
90,3,51.02,14.45,-0.03,30,3,57.7,67.4,3
90,4,45.2,12.06,-2.121,47,6,35.2,129.6,4
90,5,80.86,15.57,1.029,35,2,58.5,110.6,5
91,1,87.21,12.78,-0.931,40,6,62.5,34.4,1
91,2,37.71,15.94,1.44,16,6,40.4,137.4,2
91,3,113.55,16.17,-0.481,13,8,79.5,126.2,3
91,4,43.81,16.72,2.288,50,7,42.0,110.2,4
91,5,46.01,16.51,2.666,42,8,35.0,149.0,5
92,1,20.0,14.99,0.888,30,9,27.1,125.5,1
92,2,95.1,14.85,-0.734,19,6,68.3,133.8,2
